Date,USD,BOV
1/15/2016,4.0059,38.56913
1/18/2016,4.0043,37.93727
1/19/2016,4.0523,38.05701
1/20/2016,4.0584,37.64548
1/21/2016,4.1014,37.71711
1/22/2016,4.1538,38.03122
1/26/2016,4.0879,37.49748
1/27/2016,4.0669,38.37637
1/28/2016,4.1049,38.63019
1/29/2016,4.067,40.40599
2/1/2016,3.9971,40.57004
2/2/2016,3.9597,38.59617
2/3/2016,3.9853,39.58882
2/4/2016,3.8923,40.82174
2/5/2016,3.8862,40.59209
2/10/2016,3.8815,40.37658
2/11/2016,3.9267,39.3183
2/12/2016,3.9875,39.80805
2/15/2016,3.9682,40.09289
2/16/2016,3.9953,40.9477
2/17/2016,4.0625,41.63082
2/18/2016,3.9809,41.47763
2/19/2016,4.0246,41.54341
2/22/2016,4.0164,43.23485
2/23/2016,3.9428,42.43726
2/24/2016,3.9535,42.08456
2/25/2016,3.9544,41.8879
2/26/2016,3.9519,41.59308
2/29/2016,3.9647,42.79386
3/1/2016,4.0129,44.12179
3/2/2016,3.9223,44.89348
3/3/2016,3.8893,47.19339
3/4/2016,3.7961,49.08487
3/7/2016,3.7688,49.2461
3/8/2016,3.7812,49.10214
3/9/2016,3.7527,48.66509
3/10/2016,3.6769,49.57111
3/11/2016,3.614,49.63868
3/14/2016,3.5717,48.86733
3/15/2016,3.655,47.13002
3/16/2016,3.7623,47.76343
3/17/2016,3.7366,50.91379
3/18/2016,3.6206,50.81466
3/21/2016,3.6211,51.17155
3/22/2016,3.6126,51.01019
3/23/2016,3.5778,49.69005
3/24/2016,3.6801,49.65739
3/28/2016,3.6835,50.83823
3/29/2016,3.6772,51.15499
3/30/2016,3.634,51.24892
3/31/2016,3.5961,50.05527
4/1/2016,3.5871,50.56153
4/4/2016,3.5486,48.77999
4/5/2016,3.6172,49.05362
4/6/2016,3.6737,48.09624
4/7/2016,3.6364,48.5131
4/11/2016,3.5862,50.16548
4/12/2016,3.4877,52.00186
4/13/2016,3.4825,53.14984
4/14/2016,3.4935,52.41102
4/15/2016,3.4725,53.22774
4/18/2016,3.531,52.89408
4/19/2016,3.6099,53.71005
4/20/2016,3.5248,53.63093
4/22/2016,3.5244,52.90788
4/25/2016,3.5623,51.86171
4/26/2016,3.5498,53.0825
4/27/2016,3.5202,54.47778
4/28/2016,3.5215,54.31197
4/29/2016,3.4797,53.91051
5/2/2016,3.4328,53.56153
5/3/2016,3.4965,52.26019
5/4/2016,3.5552,52.5528
5/5/2016,3.5438,51.67104
5/6/2016,3.5331,51.71783
5/9/2016,3.499,50.99007
5/10/2016,3.513,53.07091
5/11/2016,3.4704,52.76446
5/12/2016,3.447,53.24132
5/13/2016,3.4771,51.80431
5/16/2016,3.5302,51.80292
5/17/2016,3.4956,50.83944
5/18/2016,3.4861,50.5617
5/19/2016,3.5585,50.13253
5/20/2016,3.5609,49.72275
5/23/2016,3.5573,49.33042
5/24/2016,3.5665,49.34519
5/25/2016,3.5673,49.48286
5/27/2016,3.5827,49.05149
5/30/2016,3.6089,48.96434
5/31/2016,3.5674,48.47171
6/1/2016,3.5844,49.01265
6/2/2016,3.591,49.88724
6/3/2016,3.5801,50.6195
6/6/2016,3.5245,50.4318
6/7/2016,3.4845,50.48786
6/8/2016,3.4349,51.62929
6/9/2016,3.3575,51.11846
6/10/2016,3.3962,49.42216
6/13/2016,3.4158,49.66079
6/14/2016,3.4773,48.6483
6/15/2016,3.4751,48.91474
6/16/2016,3.4693,49.41162
6/17/2016,3.4613,49.53384
6/20/2016,3.4128,50.32936
6/21/2016,3.3917,50.83781
6/22/2016,3.4121,50.1563
6/23/2016,3.3742,51.55982
6/24/2016,3.3369,50.10526
6/27/2016,3.3677,49.24553
6/28/2016,3.3893,50.00656
6/29/2016,3.3025,51.00191
6/30/2016,3.2376,51.52693
7/1/2016,3.2104,52.23304
7/4/2016,3.2306,52.56866
7/5/2016,3.2871,51.84227
7/6/2016,3.2991,51.90181
7/7/2016,3.327,52.01466
7/8/2016,3.3602,53.14074
7/11/2016,3.2977,53.96012
7/12/2016,3.3072,54.25641
7/13/2016,3.2931,54.59829
7/14/2016,3.2616,55.48087
7/15/2016,3.2484,55.57824
7/18/2016,3.2766,56.48422
7/19/2016,3.2494,56.69806
7/20/2016,3.2479,56.57805
7/21/2016,3.2522,56.64149
7/22/2016,3.2686,57.00208
7/25/2016,3.2515,56.87273
7/26/2016,3.2821,56.78275
7/27/2016,3.27,56.85284
7/28/2016,3.257,56.66712
7/29/2016,3.2819,57.30821
8/1/2016,3.2462,56.75576
8/2/2016,3.2584,56.16238
8/3/2016,3.2528,57.07691
8/4/2016,3.2346,57.5939
8/5/2016,3.1869,57.66114
8/8/2016,3.1607,57.63543
8/9/2016,3.1686,57.68942
8/10/2016,3.1429,56.91978
8/11/2016,3.1247,58.29957
8/12/2016,3.139,58.29841
8/15/2016,3.1905,59.14598
8/16/2016,3.1848,58.85543
8/17/2016,3.2012,59.32383
8/18/2016,3.2048,59.16602
8/19/2016,3.238,59.09892
8/22/2016,3.2045,57.78124
8/23/2016,3.1987,58.02003
8/24/2016,3.2355,57.71788
8/25/2016,3.2233,57.72214
8/26/2016,3.2286,57.71625
8/29/2016,3.2641,58.61039
8/30/2016,3.2276,58.57542
8/31/2016,3.2368,57.90111
9/1/2016,3.226,58.23627
9/2/2016,3.2532,59.6164
9/5/2016,3.256,59.56635
9/6/2016,3.2672,60.12944
9/8/2016,3.1907,60.23166
9/9/2016,3.2141,57.99973
9/12/2016,3.2717,58.58611
9/13/2016,3.2469,56.82077
9/14/2016,3.3141,57.05946
9/15/2016,3.3435,57.90949
9/16/2016,3.2998,57.07976
9/19/2016,3.2655,57.35038
9/20/2016,3.2712,57.73646
9/21/2016,3.2562,58.39392
9/22/2016,3.2096,58.99417
9/23/2016,3.2174,58.697
9/26/2016,3.2421,58.05353
9/27/2016,3.2406,58.38249
9/28/2016,3.2328,59.35577
9/29/2016,3.2178,58.35057
9/30/2016,3.2589,58.36705
10/3/2016,3.2598,59.46123
10/4/2016,3.2087,59.33923
10/5/2016,3.2568,60.25434
10/6/2016,3.2159,60.64424
10/7/2016,3.227,61.10898
10/10/2016,3.2193,61.66833
10/11/2016,3.2031,61.02185
10/13/2016,3.2007,61.11858
10/14/2016,3.1773,61.76722
10/17/2016,3.2028,62.69611
10/18/2016,3.2042,63.78221
10/19/2016,3.1854,63.50561
10/20/2016,3.1661,63.83785
10/21/2016,3.1391,64.10808
10/24/2016,3.1525,64.05989
10/25/2016,3.1245,63.8662
10/26/2016,3.1104,63.82569
10/27/2016,3.1388,64.24951
10/28/2016,3.1653,64.30763
10/31/2016,3.2031,64.92452
11/1/2016,3.1982,63.32642
11/3/2016,3.2526,61.75017
11/4/2016,3.2581,61.59839
11/7/2016,3.2323,64.05165
11/8/2016,3.2009,64.15768
