Date,ibov,Close
2020-06-12,92795.27,5.3169
2020-06-15,92375.52,5.3165
2020-06-16,93531.17,5.4584
2020-06-17,95547.29,5.5346
2020-06-18,96125.24,5.59345
2020-06-19,96572.1,5.59345
2020-06-22,95335.96,5.58185
2020-06-23,95975.16,5.6534
2020-06-24,94377.36,5.4989
2020-06-25,95983.09,5.3363
2020-06-26,93834.49,5.4875
2020-06-29,95735.35,5.4873
2020-06-30,95055.82,5.4874
2020-07-01,96203.2,5.481
2020-07-02,96234.96,5.5421
2020-07-03,96764.85,5.5796
2020-07-06,98937.16,5.7167
2020-07-07,97761.04,5.83241
2020-07-08,99769.88,5.7324
2020-07-10,100031.83,5.7323
2020-07-13,98697.06,5.481
2020-07-14,100440.23,5.8186
2020-07-15,101790.54,5.8863
2020-07-16,100553.27,5.8879
2020-07-17,102888.25,5.811
2020-07-20,104426.37,5.856671
2020-07-21,104309.74,5.856671
2020-07-22,104289.57,5.8567
2020-07-23,102293.31,5.7192
2020-07-24,102381.58,5.7567
2020-07-27,104477.08,5.692
2020-07-28,104109.07,5.5539
2020-07-29,105605.17,5.5302
2020-07-30,105008.7,5.5302
2020-07-31,102912.24,5.5302
2020-08-03,102829.96,5.4449
2020-08-04,101215.87,5.3455
2020-08-05,102801.76,5.2743
2020-08-06,104125.64,5.4051
2020-08-07,102775.55,5.3349
2020-08-10,103444.48,5.3349
2020-08-11,102174.4,5.3363
2020-08-12,102117.79,5.3672
2020-08-13,100460.6,5.2005
2020-08-14,101353.45,5.0631
2020-08-17,99595.41,5.1187
2020-08-18,102065.35,4.965428
2020-08-19,100853.72,4.965428
2020-08-20,101467.87,4.961
2020-08-21,101521.29,4.823
2020-08-24,102297.95,4.8999
2020-08-25,102117.64,4.9737
2020-08-26,100627.33,4.9765
2020-08-27,100623.64,5.0493
2020-08-28,102142.93,5.0493
2020-08-31,99369.15,5.0493
2020-09-01,102167.65,5.156124
2020-09-02,101911.13,5.2451
2020-09-03,100721.36,5.2294
2020-09-04,101241.73,5.3787
2020-09-08,100050.43,5.31147
2020-09-09,101292.05,5.31147
2020-09-10,98834.59,5.3115
2020-09-11,98363.22,5.2534
2020-09-14,100274.52,5.1526
2020-09-15,100297.91,5.3481
2020-09-16,99675.68,5.361
2020-09-17,100097.83,5.479
2020-09-18,98289.71,5.479
2020-09-21,96990.72,5.4824
2020-09-22,97293.54,5.4036
2020-09-23,95734.82,5.4632
2020-09-24,97012.07,5.3177
2020-09-25,96999.38,5.36
2020-09-28,94666.37,5.312917
2020-09-29,93580.35,5.312917
2020-09-30,94603.38,5.3129
2020-10-01,95478.52,5.3558
2020-10-02,94015.68,5.3793
2020-10-05,96089.19,5.3441
2020-10-06,95615.03,5.3393
2020-10-07,95526.26,5.328354
2020-10-08,97919.73,5.338468
2020-10-09,97483.31,5.3284
2020-10-13,98502.82,5.403
2020-10-14,99334.43,5.3683
2020-10-15,99054.06,5.370175
2020-10-16,98309.12,5.3322
2020-10-19,98657.65,5.38666
2020-10-20,100539.83,5.3868
2020-10-21,100552.44,5.3288
2020-10-22,101917.73,5.1713
2020-10-23,101259.75,5.1196
2020-10-26,101016.96,5.2121
2020-10-27,99605.54,5.23055
2020-10-28,95368.76,5.23055
2020-10-29,96582.16,5.2306
2020-10-30,93952.4,5.144821
2020-11-03,95979.71,5.1538
2020-11-04,97866.81,5.1703
2020-11-05,100751.4,5.1554
2020-11-06,100925.11,5.22265
2020-11-09,103515.16,5.22265
2020-11-10,105066.96,5.2227
2020-11-11,104808.83,5.3202
2020-11-12,102507.01,5.2912
2020-11-13,104723,5.2924
2020-11-16,106429.92,5.3328
2020-11-17,107248.63,5.437325
2020-11-18,106119.09,5.438274
2020-11-19,106669.9,5.4387
2020-11-20,106042.48,5.482
2020-11-23,107378.92,5.3818
2020-11-24,109786.3,5.4365
2020-11-25,110132.53,5.3684
2020-11-26,110227.09,5.422278
2020-11-27,110575.47,5.422278
2020-11-30,108893.32,5.4223
2020-12-01,111399.91,5.5098
2020-12-02,111878.53,5.4674
2020-12-03,112291.59,5.5579
2020-12-04,113750.22,5.5574
2020-12-07,113589.77,5.620075
2020-12-08,113793.06,5.620075
2020-12-09,113001.16,5.6201
2020-12-10,115128.63,5.6113
2020-12-11,115128,5.5089
2020-12-14,114611.12,5.6087
2020-12-15,116148.63,5.5702
2020-12-16,117857.35,5.39145
2020-12-17,118400.57,5.39145
2020-12-18,118023.67,5.3915
2020-12-21,115822.57,5.493
2020-12-22,116636.18,5.3988
2020-12-23,117806.85,5.3406
2020-12-28,119123.7,5.2914
2020-12-29,119409.15,5.3025
2020-12-30,119017.24,5.3025
2021-01-04,118854.71,5.3025
2021-01-05,119376.21,5.2998
2021-01-06,119100.08,5.3621
2021-01-07,122385.92,5.31
2021-01-08,125076.63,5.322
2021-01-11,123255.13,5.3177
2021-01-12,123998,5.3177
2021-01-13,121933.08,5.3177
2021-01-14,123480.52,5.2696
2021-01-15,120348.8,5.2758
2021-01-18,121241.63,5.2375
2021-01-19,120636.39,5.2394
2021-01-20,119646.4,5.3913
2021-01-21,118328.99,5.3913
2021-01-22,117380.49,5.3913
2021-01-26,116464.06,5.4141
2021-01-27,115882.3,5.4714
2021-01-28,118883.25,5.5939
2021-01-29,115067.55,5.5099
2021-02-01,117517.57,5.56135
2021-02-02,118233.81,5.56135
2021-02-03,119724.72,5.5626
2021-02-04,119260.82,5.6617
2021-02-05,120240.26,5.632
2021-02-08,119696.36,5.6099
2021-02-09,119471.62,5.6435
2021-02-10,118435.33,5.6831
2021-02-11,119299.83,5.6831
2021-02-12,119428.72,5.6831
2021-02-17,120355.79,5.57495
2021-02-18,119198.97,5.5953
2021-02-19,118430.53,5.6128
2021-02-22,112667.7,5.6001
2021-02-23,115227.46,5.530502
2021-02-24,115667.78,5.530502
2021-02-25,112256.36,5.5305
2021-02-26,110035.17,5.5316
2021-03-01,110334.83,5.57
2021-03-02,111539.8,5.592
2021-03-03,111183.95,5.6127
2021-03-04,112690.17,5.648385
2021-03-05,115202.23,5.648385
2021-03-08,110611.58,5.6463
2021-03-09,111330.62,5.6071
2021-03-10,112776.49,5.5879
2021-03-11,114983.76,5.6093
2021-03-12,114160.4,5.5928
2021-03-15,114850.74,5.619251
2021-03-16,114018.78,5.619251
2021-03-17,116549.44,5.619251
2021-03-18,114835.43,5.6241
2021-03-19,116221.58,5.7067
2021-03-22,114978.86,5.7464
2021-03-23,113261.8,5.7793
2021-03-24,112064.19,5.7429
2021-03-25,113749.9,5.7429
2021-03-26,114780.62,5.7429
2021-03-29,115418.72,5.7426
2021-03-30,116849.67,5.7572
2021-03-31,116633.72,5.6645
2021-04-01,115253.31,5.5249
2021-04-05,117518.44,5.3648
2021-04-06,117498.87,5.3648
2021-04-07,117623.58,5.3648
2021-04-08,118313.23,5.3855
2021-04-09,117669.9,5.4154
2021-04-12,118811.74,5.3915
2021-04-13,119297.13,5.4582
2021-04-14,120294.68,5.4585
2021-04-15,120700.67,5.4585
2021-04-16,121113.93,5.4585
2021-04-19,120933.78,5.4164
2021-04-20,120061.99,5.3287
2021-04-22,119371.48,5.3633
2021-04-23,120530.06,5.306
2021-04-26,120594.61,5.3801
2021-04-27,119388.37,5.3801
2021-04-28,121052.52,5.3801
2021-04-29,120065.75,5.4421
2021-04-30,118893.84,5.3741
2021-05-03,119209.48,5.3241
2021-05-04,117712,5.3368
2021-05-05,119564.44,5.3441
2021-05-06,119920.61,5.3441
2021-05-07,122038.11,5.3441
2021-05-10,121909.03,5.3326
2021-05-11,122964.01,5.2064
2021-05-12,119710.03,5.217887
2021-05-13,120705.91,5.1525
2021-05-14,121880.82,5.156839
2021-05-17,122937.87,5.156839
2021-05-18,122979.96,5.156839
2021-05-19,122636.3,5.0999
2021-05-20,122700.79,5.1214
2021-05-21,122592.47,5.1712
2021-05-24,124031.62,5.0257
2021-05-25,122987.71,5.0662
2021-05-26,123989.17,5.0662
2021-05-27,124366.57,5.0662
2021-05-28,125561.37,5.1192
2021-05-31,126215.73,5.082176
2021-06-01,128267.05,5.0847
2021-06-02,129601.44,5.0584
2021-06-04,130125.78,5.1026
2021-06-07,130776.27,5.1026
2021-06-08,129787.11,5.1026
2021-06-09,129906.8,5.122206
2021-06-10,130076.17,5.160231
2021-06-11,129441.03,5.216774
2021-06-14,130207.96,5.2168
2021-06-15,130091.08,5.2168
2021-06-16,129259.49,5.2168
2021-06-17,128057.22,5.2168
2021-06-18,128405.35,5.2466
2021-06-21,129264.96,5.2101
2021-06-22,128767.45,5.194091
2021-06-23,128427.98,5.1936
2021-06-24,129513.62,5.1934
2021-06-25,127255.61,5.1934
2021-06-28,127429.17,5.1934
2021-06-29,127327.44,5.2968
2021-06-30,126801.66,5.2866
2021-07-01,125666.19,5.3144
2021-07-02,127621.65,5.4103
2021-07-05,126920.05,5.418
2021-07-06,125094.88,5.41546
2021-07-07,127018.71,5.41546
2021-07-08,125427.77,5.4892
2021-07-12,127593.83,5.3229
2021-07-13,128167.74,5.299384
2021-07-14,128406.51,5.1973
2021-07-15,127467.88,5.2931
2021-07-16,125960.26,5.293371
2021-07-19,124394.57,5.293371
2021-07-20,125401.36,5.2963
2021-07-21,125929.25,5.3582
2021-07-22,126146.66,5.292
2021-07-23,125052.78,5.351
2021-07-26,126003.86,5.4671
2021-07-27,124612.03,5.4671
2021-07-28,126285.59,5.4671
2021-07-29,125675.33,5.467
2021-07-30,121800.79,5.3553
2021-08-02,122515.74,5.4141
2021-08-03,123576.56,5.440644
2021-08-04,121801.21,5.462234
2021-08-05,121632.92,5.4623
2021-08-06,122810.36,5.4623
2021-08-09,123019.38,5.432
2021-08-10,122202.47,5.3684
2021-08-11,122056.34,5.3535
2021-08-12,120700.98,5.4272
2021-08-13,121193.75,5.3708
2021-08-16,119180.03,5.3708
2021-08-17,117903.81,5.3708
2021-08-18,116642.62,5.366
2021-08-19,117164.69,5.3782
2021-08-20,118052.77,5.3864
2021-08-23,117471.67,5.3669
2021-08-24,120210.75,5.3701
2021-08-25,120817.71,5.37
2021-08-26,118723.97,5.3701
2021-08-27,120677.6,5.3695
2021-08-30,119739.96,5.3701
2021-08-31,118781.03,5.4113
2021-09-01,119395.6,5.4273
2021-09-02,116677.08,5.3825
2021-09-03,116933.24,5.382873
2021-09-06,117868.63,5.3829
2021-09-08,113412.84,5.4661
