raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual,semestre,turma,entrada,matricula
4,4,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202481
5,3,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202462
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202446
5,3,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202401
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202393
5,3,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202378
4,4,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202494
5,3,4,3,3,3,2,3,22.2,DMBAD202,AD202,AD202450
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202439
5,3,5,3,3,3,2,3,22.2,DMBAD202,AD202,AD202405
5,3,5,3,3,3,2,3,22.2,DMBAD202,AD202,AD202461
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202434
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202402
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202476
5,3,5,3,3,3,2,3,22.2,DMBAD202,AD202,AD202496
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202436
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202345
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202457
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202462
4,3,4,4,2,4,2,5,22.2,DMBAD202,AD202,AD202459
