raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual,semestre,turma,entrada,matricula
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211139
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD21179
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211337
4,4,4,4,3,3,3,3,21.1,PMLAD211,AD211,AD211103
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212146
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212230
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC21289
5,3,4,4,2,2,2,5,21.2,PMLEC212,EC212,EC212282
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212295
4,3,4,4,2,3,2,5,21.2,PMLEC212,EC212,EC212195
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212156
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212147
5,3,4,3,3,3,2,3,21.2,PMLEC212,EC212,EC212236
5,3,4,4,2,2,2,5,21.2,PMLEC212,EC212,EC21280
4,4,4,4,3,4,3,5,21.2,PMLEC212,EC212,EC212209
5,3,4,4,3,3,2,3,21.2,PMLEC212,EC212,EC212124
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212141
4,4,4,4,3,3,2,3,21.2,PMLEC212,EC212,EC212205
4,4,4,4,3,3,2,3,21.2,PMLEC212,EC212,EC212241
5,3,4,3,3,3,2,3,21.2,PMLEC212,EC212,EC21242
4,4,4,4,3,3,3,5,21.2,PMLEC212,EC212,EC21281
5,3,5,4,3,3,2,3,21.2,PMLEC212,EC212,EC21253
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC21276
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212207
5,3,5,3,3,3,2,3,21.2,PMLEC212,EC212,EC212222
4,4,4,4,3,3,3,5,21.2,PMLEC212,EC212,EC212212
5,3,4,4,3,3,2,3,21.2,PMLEC212,EC212,EC212141
5,3,5,4,3,3,2,3,21.2,PMLEC212,EC212,EC212315
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212317
4,4,4,4,3,3,2,3,21.2,PMLEC212,EC212,EC212293
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC21229
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212325
4,4,4,4,3,3,3,5,21.2,PMLEC212,EC212,EC212334
5,3,5,3,3,3,2,3,21.2,PMLEC212,EC212,EC212146
4,4,4,4,3,5,3,5,21.2,PMLEC212,EC212,EC212118
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212339
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212120
5,3,4,4,3,3,2,3,21.2,PMLEC212,EC212,EC212147
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212335
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212283
5,3,4,4,3,3,2,3,21.2,PMLEC212,EC212,EC212156
5,3,4,3,3,3,2,3,21.2,PMLEC212,EC212,EC212167
5,3,5,3,3,3,2,3,21.2,PMLEC212,EC212,EC212166
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212166
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212187
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212241
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC2124
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC21269
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212235
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC21222
5,3,5,4,3,3,2,3,21.2,PMLEC212,EC212,EC212249
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC21211
5,3,5,4,3,3,2,3,21.2,PMLEC212,EC212,EC212224
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC212154
4,4,4,4,3,3,3,3,21.2,PMLEC212,EC212,EC21278
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212246
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212134
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212178
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212179
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212266
5,3,4,4,2,2,2,4,21.2,PMLAD212,AD212,AD212275
5,3,5,3,3,3,2,3,21.2,PMLAD212,AD212,AD21212
5,3,5,4,3,3,2,3,21.2,PMLAD212,AD212,AD212285
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212198
4,4,4,4,3,4,3,5,21.2,PMLAD212,AD212,AD212175
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212296
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212199
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212259
4,4,4,4,3,4,3,5,21.2,PMLAD212,AD212,AD212192
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212257
4,4,4,4,3,3,2,3,21.2,PMLAD212,AD212,AD212116
5,3,4,4,2,3,2,5,21.2,PMLAD212,AD212,AD212106
5,3,5,3,3,3,2,3,21.2,PMLAD212,AD212,AD212118
5,3,4,3,3,3,2,3,21.2,PMLAD212,AD212,AD212217
5,3,5,3,3,3,2,3,21.2,PMLAD212,AD212,AD212196
5,3,5,3,3,3,2,3,21.2,PMLAD212,AD212,AD212241
5,3,4,3,3,3,2,3,21.2,PMLAD212,AD212,AD212262
4,3,4,4,2,4,2,5,21.2,PMLAD212,AD212,AD212140
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212210
5,3,4,4,3,3,2,3,21.2,PMLAD212,AD212,AD212207
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212217
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD21262
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212256
5,3,4,4,3,3,2,3,21.2,PMLAD212,AD212,AD212250
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212114
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212232
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212129
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212108
4,4,4,4,3,3,3,3,21.2,PMLAD212,AD212,AD212318
5,3,5,4,3,3,2,3,22.1,PMLEC221,EC221,EC221126
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221135
5,3,4,4,3,3,2,3,22.1,PMLEC221,EC221,EC221344
5,3,5,3,3,3,2,3,22.1,PMLEC221,EC221,EC221115
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221221
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221301
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221194
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221160
4,3,4,4,2,4,2,5,22.1,PMLEC221,EC221,EC221273
5,3,4,3,3,3,2,3,22.1,PMLEC221,EC221,EC221198
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC22118
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221146
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221335
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC22146
4,4,4,4,3,4,3,5,22.1,PMLEC221,EC221,EC221146
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221191
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221115
5,3,5,3,3,3,2,3,22.1,PMLEC221,EC221,EC221306
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC22136
4,4,4,4,3,3,3,5,22.1,PMLEC221,EC221,EC221116
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221192
4,4,4,4,3,3,3,5,22.1,PMLEC221,EC221,EC221233
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC22146
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221118
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221232
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC221273
4,4,4,4,3,4,3,5,22.1,PMLEC221,EC221,EC221245
5,3,4,3,3,3,2,3,22.1,PMLEC221,EC221,EC22189
4,4,4,4,3,3,3,3,22.1,PMLEC221,EC221,EC22172
5,3,5,3,3,3,2,3,22.1,PMLAD221,AD221,AD221220
5,3,4,3,3,3,2,3,22.1,PMLAD221,AD221,AD221332
4,4,4,4,3,3,3,3,22.1,PMLAD221,AD221,AD221134
4,4,4,4,3,3,3,3,22.1,PMLAD221,AD221,AD221169
4,4,4,4,3,3,3,3,22.1,PMLAD221,AD221,AD2216
5,3,4,4,2,2,2,4,22.1,PMLAD221,AD221,AD221304
5,3,5,3,3,3,2,3,22.1,PMLAD221,AD221,AD221321
5,3,4,4,3,3,2,3,22.1,PMLAD221,AD221,AD221296
5,3,4,4,3,3,2,3,22.1,PMLAD221,AD221,AD221319
4,4,4,4,3,3,3,3,22.1,PMLAD221,AD221,AD22199
5,3,4,3,3,3,2,3,22.1,PMLAD221,AD221,AD221276
4,4,4,4,3,3,3,3,22.1,PMLAD221,AD221,AD221311
5,3,4,4,3,3,2,3,22.1,PMLAD221,AD221,AD221252
4,4,4,4,3,3,3,5,22.1,PMLAD221,AD221,AD221185
5,3,4,4,3,3,2,3,22.1,PMLAD221,AD221,AD221315
4,4,4,4,3,3,3,3,22.1,PMLAD221,AD221,AD221287
4,4,4,4,3,3,3,3,22.1,PMLAD221,AD221,AD22138
4,4,4,4,3,3,3,3,22.1,PMLAD221,AD221,AD22173
5,3,5,4,3,3,2,3,22.1,PMLAD221,AD221,AD221242
4,4,4,4,3,3,2,3,22.1,PMLAD221,AD221,AD221180
4,4,4,4,3,5,3,5,22.1,PMLAD221,AD221,AD22155
5,3,4,4,3,3,2,3,22.1,PMLAD221,AD221,AD221196
4,4,4,4,3,3,2,3,22.1,PMLAD221,AD221,AD221333
5,3,4,4,3,3,2,3,22.1,PMLAD221,AD221,AD221166
4,4,4,4,3,3,3,3,22.1,PMLAD221,AD221,AD22176
5,3,4,4,3,3,2,3,22.1,PMLAD221,AD221,AD221210
4,4,4,4,3,3,3,3,22.1,PMLAD221,AD221,AD22123
5,3,4,4,3,3,2,3,22.1,PMLAD221,AD221,AD221302
