raclogico.i,abstracao.i,racmath.i,stats.i,anadados.i,anagraf.i,anapreditiva.i,ferramentavisual.i,semestre,turma,entrada,matricula,raclogico.f,abstracao.f,racmath.f,stats.f,anadados.f,anagraf.f,anapreditiva.f,ferramentavisual.f
5,4,4,4,4,5,5,4,22.1,PMLEC221,EC221,EC221194,4,4,4,4,3,3,3,3
5,4,4,4,4,5,5,4,22.1,PMLEC221,EC221,EC221160,4,4,4,4,3,3,3,3
5,5,4,5,4,5,2,4,22.1,PMLEC221,EC221,EC221198,5,3,4,3,3,3,2,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC22118,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221146,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC22146,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221146,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221191,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221115,5,3,5,3,3,3,2,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221116,4,4,4,4,3,3,3,5
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC221192,4,4,4,4,3,3,3,3
5,4,4,4,4,3,5,4,22.1,PMLEC221,EC221,EC22146,4,4,4,4,3,3,3,3
5,5,4,4,4,3,2,4,22.1,PMLAD221,AD221,AD221296,5,3,4,4,3,3,2,3
5,4,4,4,4,3,5,4,22.1,PMLAD221,AD221,AD22199,4,4,4,4,3,3,3,3
5,5,4,5,4,3,2,4,22.1,PMLAD221,AD221,AD221276,5,3,4,3,3,3,2,3
5,5,4,4,4,3,2,4,22.1,PMLAD221,AD221,AD221252,5,3,4,4,3,3,2,3
5,5,4,4,4,3,5,4,22.1,PMLAD221,AD221,AD221185,4,4,4,4,3,3,3,5
5,4,4,4,4,3,5,4,22.1,PMLAD221,AD221,AD221287,4,4,4,4,3,3,3,3
5,5,5,4,4,3,2,4,22.1,PMLAD221,AD221,AD221242,5,3,5,4,3,3,2,3
5,4,4,4,4,3,2,4,22.1,PMLAD221,AD221,AD221180,4,4,4,4,3,3,2,3
5,4,4,4,4,3,5,4,22.1,PMLAD221,AD221,AD22155,4,4,4,4,3,5,3,5
5,5,4,4,4,3,2,4,22.1,PMLAD221,AD221,AD221196,5,3,4,4,3,3,2,3
5,5,4,4,4,3,2,3,22.1,PMLAD221,AD221,AD221166,5,3,4,4,3,3,2,3
5,4,4,4,4,3,5,3,22.1,PMLAD221,AD221,AD22176,4,4,4,4,3,3,3,3
5,5,4,4,4,3,2,3,22.1,PMLAD221,AD221,AD221210,5,3,4,4,3,3,2,3
